Detector type	MS257_IN [nm]	MS257_OUT [nm]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	300.0 	300.0 	8.680278e+00	A	on	0002.09		181022 15:51:11.7510
GUV 		300.0 	300.0 	[8.050064, 13.85473, 5.023049, 6.294699, 3.865157, 15.40213, 11.79861]	A	on	0002.19		181022 15:51:11.8515
Keithley 	300.0 	300.0 	1.763134e+01	B	on	0004.29		181022 15:51:13.9520
GUV 		300.0 	300.0 	[7.004173, 4.595833, 3.191011, 7.550347, -0.7804824, 0.8064308, 6.262694]	B	on	0004.39		181022 15:51:14.5279
Keithley 	301.0 	301.0 	8.762253e-01	A	on	0006.45		181022 15:51:16.1117
GUV 		301.0 	301.0 	[17.31473, 15.68352, 4.914633, 6.165611, 12.29165, 16.64736, 6.577161]	A	on	0006.55		181022 15:51:16.2120
Keithley 	301.0 	301.0 	1.776937e+01	B	on	0008.66		181022 15:51:18.3284
GUV 		301.0 	301.0 	[9.223952, 16.14498, 8.837912, 8.86417, 11.34071, 3.899728, 16.96798]	B	on	0008.77		181022 15:51:18.4300
Keithley 	302.0 	302.0 	6.476793e+00	A	on	0010.87		181022 15:51:20.5321
GUV 		302.0 	302.0 	[-0.6238243, 0.8583459, 19.23833, 19.24535, 0.6049887, 14.79893, 6.27416]	A	on	0010.97		181022 15:51:20.6372
