Detector type	MS257_IN [um]	MS257_OUT [um]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	1.15000e+00 	1.15000e+00 	11.80143	A	off	0006.08		181204 12:03:42.1708
Agilent 	1.15000e+00 	1.15000e+00 	2.214121	A	off	0006.09		181204 12:03:42.1811
Keithley 	1.15000e+00 	1.15000e+00 	3.598792	B	off	0012.26		181204 12:03:48.3543
Agilent 	1.15000e+00 	1.15000e+00 	-17.29116	B	off	0012.32		181204 12:03:48.4075
Keithley 	1.15500e+00 	1.15500e+00 	0.545669	A	off	0016.39		181204 12:03:52.4810
Agilent 	1.15500e+00 	1.15500e+00 	-12.98538	A	off	0016.41		181204 12:03:52.4988
Keithley 	1.15500e+00 	1.15500e+00 	-1.935685	B	off	0020.47		181204 12:03:56.5613
Agilent 	1.15500e+00 	1.15500e+00 	-5.74675	B	off	0020.50		181204 12:03:56.5932
Keithley 	1.16000e+00 	1.16000e+00 	-7.774892	A	off	0024.54		181204 12:04:00.6325
Agilent 	1.16000e+00 	1.16000e+00 	-8.30315	A	off	0024.55		181204 12:04:00.6447
Keithley 	1.16000e+00 	1.16000e+00 	-5.279256	B	off	0028.65		181204 12:04:04.7458
Agilent 	1.16000e+00 	1.16000e+00 	-9.817146	B	off	0028.67		181204 12:04:04.7594
Keithley 	1.16500e+00 	1.16500e+00 	-5.237682	A	off	0032.79		181204 12:04:08.8809
Agilent 	1.16500e+00 	1.16500e+00 	-6.73083	A	off	0032.80		181204 12:04:08.8937
