Detector type	MS257_IN [nm]	MS257_OUT [nm]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	3.00000e+02 	3.00000e+02 	16.854	A	off	0006.09		190116 08:24:21.6679
Keithley 	3.00000e+02 	3.00000e+02 	-4.525868	B	off	0012.33		190116 08:24:27.9114
Keithley 	3.00100e+02 	3.00100e+02 	1.94234	A	off	0016.39		190116 08:24:31.9678
Keithley 	3.00100e+02 	3.00100e+02 	8.01675	B	off	0020.52		190116 08:24:36.9338
Keithley 	3.00200e+02 	3.00200e+02 	0.96998	A	off	0024.68		190116 08:24:40.2576
Keithley 	3.00200e+02 	3.00200e+02 	3.03341	B	off	0028.77		190116 08:24:44.3493
Keithley 	3.00300e+02 	3.00300e+02 	-3.433677	A	off	0032.90		190116 08:24:48.4772
Keithley 	3.00300e+02 	3.00300e+02 	-0.02587	B	off	0037.15		190116 08:24:52.7232
Keithley 	3.00400e+02 	3.00400e+02 	-0.023403	A	off	0041.25		190116 08:24:56.8292
Keithley 	3.00400e+02 	3.00400e+02 	-1.876919	B	off	0045.47		190116 08:25:01.4394
Keithley 	3.00500e+02 	3.00500e+02 	5.43868	A	off	0049.53		190116 08:25:05.1074
Keithley 	3.00500e+02 	3.00500e+02 	-0.022488	B	off	0053.72		190116 08:25:09.2980
Keithley 	3.00600e+02 	3.00600e+02 	6.16134	A	off	0057.82		190116 08:25:13.3968
Keithley 	3.00600e+02 	3.00600e+02 	-2.855607	B	off	0061.98		190116 08:25:17.5544
Keithley 	3.00700e+02 	3.00700e+02 	6.47847	A	off	0066.12		190116 08:25:21.6998
Keithley 	3.00700e+02 	3.00700e+02 	0.20641	B	off	0070.27		190116 08:25:25.8469
Keithley 	3.00800e+02 	3.00800e+02 	-7.27426	A	off	0074.33		190116 08:25:29.9112
Keithley 	3.00800e+02 	3.00800e+02 	0.75585	B	off	0078.50		190116 08:25:34.8190
Keithley 	3.00900e+02 	3.00900e+02 	0.25789	A	off	0082.60		190116 08:25:38.1796
Keithley 	3.00900e+02 	3.00900e+02 	0.042844	B	off	0086.74		190116 08:25:42.3226
Keithley 	3.01000e+02 	3.01000e+02 	2.94634	A	off	0090.82		190116 08:25:46.3968
Keithley 	3.01000e+02 	3.01000e+02 	2.00195	B	off	0094.95		190116 08:25:50.5284
Keithley 	3.01100e+02 	3.01100e+02 	2.78172	A	off	0098.99		190116 08:25:54.5695
Keithley 	3.01100e+02 	3.01100e+02 	0.109167	B	off	0103.21		190116 08:25:58.7833
Keithley 	3.01200e+02 	3.01200e+02 	4.82632	A	off	0107.24		190116 08:26:02.8182
Keithley 	3.01200e+02 	3.01200e+02 	0.078073	B	off	0111.35		190116 08:26:06.9315
Keithley 	3.01300e+02 	3.01300e+02 	0.74803	A	off	0115.41		190116 08:26:10.9898
Keithley 	3.01300e+02 	3.01300e+02 	0.54183	B	off	0119.57		190116 08:26:15.1481
