Detector type	MS257_IN [nm]	MS257_OUT [nm]	Signal	Mirror pos.	Shut.	Timetr.[s]	Abs date and time
Keithley 	4.50000e+02 	4.50000e+02 	0.24128	A	off	0006.17		181210 08:47:30.2598
Agilent 	4.50000e+02 	4.50000e+02 	1.522802	A	off	0006.18		181210 08:47:30.3639
Keithley 	4.50000e+02 	4.50000e+02 	-9.001922	B	off	0012.41		181210 08:47:36.2723
Agilent 	4.50000e+02 	4.50000e+02 	1.669244	B	off	0012.43		181210 08:47:36.2845
Keithley 	4.51000e+02 	4.51000e+02 	4.50123	A	off	0016.49		181210 08:47:40.3457
Agilent 	4.51000e+02 	4.51000e+02 	11.63791	A	off	0016.50		181210 08:47:40.3559
Keithley 	4.51000e+02 	4.51000e+02 	-7.656313	B	off	0020.54		181210 08:47:44.3973
Agilent 	4.51000e+02 	4.51000e+02 	-8.760504	B	off	0020.55		181210 08:47:44.4075
Keithley 	4.52000e+02 	4.52000e+02 	-9.614075	A	off	0024.57		181210 08:47:48.4323
Agilent 	4.52000e+02 	4.52000e+02 	0.930184	A	off	0024.59		181210 08:47:48.4448
Keithley 	4.52000e+02 	4.52000e+02 	-3.31997	B	off	0028.69		181210 08:47:52.5523
Agilent 	4.52000e+02 	4.52000e+02 	-3.409669	B	off	0028.71		181210 08:47:52.5661
